ID_Pelanggan,Isi_Pesan,Label_Masalah
P-834,"Wilujeng sonten, wifi na lemot pisan dianggo kerja ti bumi, geuning, makasih sebelumnya",Wifi Lemot
P-105,"Permisi min, hatur nuhun upami dibantos ganti sandi wifi ayeuna, punten pisan",Ganti Password
P-479,A router di rumah mati lampu indikatornya semua.,Router Error
P-367,"Min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, euy, nuhun pisan",Belum Bayar Tagihan
P-747,"Min tolong cek kenapa wifi saya lemot banget belakangan ini. min,",Wifi Lemot
P-365,"min kenapa ya internet gabisa dipake, tanda seru terus. apa krn nunggak?",Belum Bayar Tagihan
P-061,"Assalamu'alaikum punten wifi anu ibu anah eror ti wengi.. Arah sukatani batu jajar
Turnuhun",Router Error
P-004,"nyala
ngga mati lampu lagi
tiba"" bangett matii Wifi-nya",Router Error
P-135,"Hapunten, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, pisan, punten pisan",Ganti Password
P-003,trus iye ek iraha di omean,Internet Mati (LOS)
P-398,"Wilujeng sonten, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, makasih sebelumnya",Belum Bayar Tagihan
P-311,"Mangga, wifi abdi pareum sadayana ti tadi, teu acan hurung deui, atuh, tolong dicek ya",Internet Mati (LOS)
P-175,"Wilujeng enjing, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, teuing, hapunten ganggu",Internet Mati (LOS)
P-007,Maaf a wifi skrg ga ada sinyalnya,Internet Mati (LOS)
P-790," mohon bantuannya, punten min, wifi di rumah lambat banget buat upload tugas.",Wifi Lemot
P-029,Wifi teh sering jore,Router Error
P-366,"Punten a, wifi mati, sigana can dibayar bulan ieu mah. Cek tagihan na a",Belum Bayar Tagihan
P-106,"Selamat pagi min, internet di rumah abdi mati total ti tadi enjing, euy, nuhun pisan",Internet Mati (LOS)
P-018,Malam. Min tolong jaringan wifi yang noni lagi gak bagus.,Router Error
P-314,"Hapunten, lampu LOS di modem hurung beureum ti wengi tadi, weh, ditunggu kabarnya",Internet Mati (LOS)
P-894,"A tolong kirim teknisi, internet mati lampu merah nyala.",Internet Mati (LOS)
P-180,"Mangga, router abdi mati sorangan, teu acan hurung deui ti tadi, hatur nuhun",Router Error
P-071,"Kenapa ya pak jaringan nya GK sampe k kamar
Sinyal nya jelek",Wifi Lemot
P-756," tolong ya, punten min, wifi di rumah ngelag buat buka sosmed aja lama.",Wifi Lemot
P-656,"Min mau ganti password wifi saya, tolong proses ya. a,",Ganti Password
P-361,"Selamat pagi min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, tolong dicek ya",Belum Bayar Tagihan
P-066,"assalamualaikum
Pak punten wifi di abdi th elor jadi teu aya jaringan tos bade 3 dinten sareng ayena ku nn nya pak🙏🏻",Router Error
P-437,"Min, punten upami tos dibayar ayeuna, iraha deui hurungna, tolong dicek ya",Belum Bayar Tagihan
P-121,"Halo min, wifi kacida na lemot na, streaming putus-putus wae, makasih sebelumnya",Wifi Lemot
P-384,"Permisi min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, punten pisan",Belum Bayar Tagihan
P-563,"Min naha internet down pisan? Lagi ada perbaikan pusat? a,",Gangguan Pusat
P-156,"Sim kuring bade tumaros, wifi teu tiasa dianggo sama sakali ti isuk kénéh, mohon bantuannya",Internet Mati (LOS)
P-629,"A naha internet down kabeh? Server pusat lagi bermasalah? a,",Gangguan Pusat
P-169,"Wilujeng enjing, internet mati total sakomplek, lampu indikator beureum sadayana, atuh, tolong secepatnya ya",Internet Mati (LOS)
P-403,"Mohon maaf min, punten upami tos dibayar ayeuna, iraha deui hurungna, yeuh, ditunggu kabarnya",Belum Bayar Tagihan
P-134,"Nuhun sateuacana, koneksi lelet euy, buka WA wae hese pisan, geuning, hapunten ganggu",Wifi Lemot
P-698, nuhun. min mau ganti nama wifi sama sandinya sekalian bisa?,Ganti Password
P-611, nuhun. min naha internet down pisan? lagi ada perbaikan pusat?,Gangguan Pusat
P-034,Gagal menyambungkan ke jaringan,Router Error
P-096,"Wilujeng sonten, router sok mati sorangan ti tadi enjing, teu apal kunaon, weh, makasih sebelumnya",Router Error
P-803,"Kak, wifi kacida na lemot na, streaming putus-putus wae, geuning, tolong dicek ya",Wifi Lemot
P-394,"Permisi min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, teuing, makasih sebelumnya",Belum Bayar Tagihan
P-696," kak, min tolong ganti password wifi rumah, password barunya: admin123.",Ganti Password
P-730,"Min mau ganti password wifi saya, tolong proses ya. tolong ya,",Ganti Password
P-888,"Punten, kacida na gangguan na, jaringan mati ti tadi enjing sakomplek, teuing, makasih sebelumnya",Gangguan Pusat
P-523," a, a router saya error, ganti baru aja bisa ga?",Router Error
P-216,"Kak, kacepetan wifi turun drastis ti kamari sonten, atuh, tolong dicek ya",Wifi Lemot
P-041,Di hp kekuatan sinyal buruk trs,Wifi Lemot
P-331,"Min, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, teuing, tolong dicek ya",Ganti Password
P-211,A wifi mati ieu lampu los kedip2 ti subuh,Internet Mati (LOS)
P-580,"Min wifi se-RT mati semua, tolong cek info gangguan.",Gangguan Pusat
P-063,Dicabut NTOS diciloken deui th Kitu keneh,Router Error
P-751,"Selamat pagi min, internet lemot teuing, main game jadi lag terus, atuh, tolong dibantu ya",Wifi Lemot
P-945,"Wilujeng enjing, lampu LOS di modem hurung beureum ti wengi tadi, geuning, tolong dicek ya",Internet Mati (LOS)
P-725,Min tolong ganti password wifi saya biar ga dibobol orang. nuhun.,Ganti Password
P-088,"Kumaha carana nya, internet ngadat-ngadat terus ti tadi siang, hese pisan, teuing, hatur nuhun",Wifi Lemot
P-016,"Ari nusejen mh hurung
udh
Anu idh jng anu winda jore",Router Error
P-072,"Sama"",mohon diperbaiki,wifi nya sering lemot pak",Wifi Lemot
P-470," min, a router di rumah tiba tiba mati total lampu powernya ga nyala.",Router Error
P-330,"Kak, jaringan hilang total, tos ti tadi isuk teu acan uih deui, yeuh, tolong dicek ya",Internet Mati (LOS)
P-445,"kak internet mati dari pagi, kyknya blm bayar tagihan bulanan, mohon dicekin ya",Belum Bayar Tagihan
P-259,"Permisi min, hoyong ganti nami sareng sandi wifi bumi, pisan, nuhun sateuacana",Ganti Password
P-825," a tolong cek jaringan, wifi di rumah lemot banget euy.",Wifi Lemot
P-469," tolong ya, min ini router baru dipasang kok udah error ya?",Router Error
P-346,kak internet mati apa krn blm bayar ya?,Belum Bayar Tagihan
P-309,A router nya nyala tapi di hp tulisan nya tidak ada internet tolong dicek ya a,Router Error
P-107,"Mangga, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, atuh, tolong dibantu ya",Ganti Password
P-395,"halo min wifi mati total, kayaknya blm bayar bulanan, msh bisa dibayar kan?",Belum Bayar Tagihan
P-658,"Wilujeng enjing, punten bade robih password wifi, tiasa dibantos teu, atuh, punten pisan",Ganti Password
P-053,"Assalamualaikum Pak,wifi nya error ya,tolong dicek,buka YouTube loading terus 🙏",Gangguan Pusat
P-531,"Punten a, router error nih, udah dicabut colok tetep sama.",Router Error
P-549," tolong ya, min wifi mati total, denger denger lagi ada gangguan massal.",Gangguan Pusat
P-264,"Wilujeng sonten, router sok mati sorangan ti tadi enjing, teu apal kunaon, punten pisan",Router Error
P-003,pantes ti jam 9 wifi na eweh internetan,Internet Mati (LOS)
P-008,"Assalamualaikum,  bpak /ibu , 
Sya mau menanyakan perihal jaringan wifi
Di rumah sya ruter nya ko lampunya tuh merah terus knp iya 
Sdngkan klo abis juga belum wktunya",Internet Mati (LOS)
P-133,"Wilujeng enjing, sinyal wifi ical sadayana ti tadi sonten, nuhun pisan",Internet Mati (LOS)
P-733,"A mau ganti password wifi, ada tetangga yang tau sandinya. kak,",Ganti Password
P-752," nuhun. a internet lemot pisan euy, tolong dibantu.",Wifi Lemot
P-406,"kak wifi saya mati, pas dicek tnyata blm bayar tagihan bulan kmrn, bsa tlong cek?",Belum Bayar Tagihan
P-039,Wifi nya ganguan terus,Internet Mati (LOS)
P-416,"Mohon maaf min, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, geuning, mohon bantuannya",Belum Bayar Tagihan
P-055,"Assallamualaikum,..
Mang Iye WiFi teh Awon dei,.
Tadi saena sakedap...",Internet Mati (LOS)
P-397,"Kak, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, weh, makasih sebelumnya",Belum Bayar Tagihan
P-070,"Assalamualaikum ,A hoyong ganti kata wifi kumaha cara na bisa nggak
Kata sandi wifi",Ganti Password
P-094,"Mohon maaf min, wifi na lemot pisan dianggo kerja ti bumi, pisan, tolong dicek ya",Wifi Lemot
P-447,"Punten a, router error nih, udah dicabut colok tetep sama. kak,",Router Error
P-316,"Kak, kacepetan wifi turun drastis ti kamari sonten, weh, mohon bantuannya",Wifi Lemot
P-300,"Hapunten, internet lemot teuing, main game jadi lag terus, teuing, nuhun pisan",Wifi Lemot
P-277,"Mohon maaf min, lampu indikator router beureum tapi kabel na sae wae, geuning, makasih sebelumnya",Router Error
P-759,"Punten min, wifi di rumah lambat banget buat upload tugas. min,",Wifi Lemot
P-025,Kang naha teuaya akses internet nya ti tadi,Gangguan Pusat
P-045,Gimn  ini ko gada jawaban?,Internet Mati (LOS)
P-247,"Permisi min, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, teuing, nuhun sateuacana",Internet Mati (LOS)
P-057,Tiap hari kaya gitu selalu di cabut,Router Error
P-124,"Wilujeng enjing, lampu LOS di modem hurung beureum ti wengi tadi, yeuh, hatur nuhun",Internet Mati (LOS)
P-864,"Sim kuring bade tumaros, kawentar aya perbaikan jaringan pusat ti isuk kénéh, weh, ditunggu kabarnya",Gangguan Pusat
P-295,"Permisi min, lampu LOS di modem hurung beureum ti wengi tadi, ditunggu kabarnya",Internet Mati (LOS)
P-159,"Nuhun sateuacana, internet di rumah abdi mati total ti tadi enjing, weh, tolong secepatnya ya",Internet Mati (LOS)
P-207,"Halo min, koneksi lambat pisan, buka youtube kudu nunggu lila, geuning, tolong secepatnya ya",Wifi Lemot
P-918," min, a tolong bantu cek, internet mati lampu indikator merah terus.",Internet Mati (LOS)
P-878," euy. punten min, internet mati lampu indikator merah (los) euy.",Internet Mati (LOS)
P-779," a, a tolong cek jaringan, wifi lemot pisan dari tadi pagi.",Wifi Lemot
P-765," mohon bantuannya, min tolong cek kenapa wifi saya lemot banget hari ini.",Wifi Lemot
P-266,"Wilujeng sonten, internet mati total sakomplek, lampu indikator beureum sadayana, yeuh, makasih sebelumnya",Internet Mati (LOS)
P-376,"Permisi min, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, yeuh, hapunten ganggu",Belum Bayar Tagihan
P-529," tlong. a tolong cek router, kayaknya ada yang konslet di dalem.",Router Error
P-122,"Hapunten, lampu LOS di modem hurung beureum ti wengi tadi, teuing, tolong secepatnya ya",Internet Mati (LOS)
P-359,"kak mau nanya, wifi saya dimatiin dari pusat ya soalnya belum bayar tagihan?",Belum Bayar Tagihan
P-005,A masih belum ada jaringan,Router Error
P-778," a, punten min, wifi lemot pisan buat download aja ga jalan.",Wifi Lemot
P-673,"Mangga, punten bade robih password wifi, tiasa dibantos teu, geuning, tolong dicek ya",Ganti Password
P-370,"Selamat pagi min, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, euy, tolong dibantu ya",Belum Bayar Tagihan
P-167,"Halo min, kacepetan wifi turun drastis ti kamari sonten, geuning, tolong dibantu ya",Wifi Lemot
P-013,Iya terima kasih,Router Error
P-703,"Min ganti sandi wifi dong a, tolong dicek ya. mohon bantuannya,",Ganti Password
P-182,Punten a router restart terus dari tadi pagi tolong dicek ya a,Router Error
P-625,"Punten, kabel fiber katarik treuk cenah, éta anu ngabalukarkeun jaringan mati sadayana, atuh, hapunten ganggu",Gangguan Pusat
P-695,"Punten, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, geuning, tolong secepatnya ya",Ganti Password
P-373,"min jaringan ilang, apa karena saya belum bayar bulanan?",Belum Bayar Tagihan
P-439,"min internet putus nih, apa krn belom bayar tagihan bulan ini ya min?",Belum Bayar Tagihan
P-328,"Wilujeng enjing, wifi kacida na lemot na, streaming putus-putus wae, weh, punten pisan",Wifi Lemot
P-188,"Kumaha carana nya, aya kabel di luar putus keuna dahan tangkal, cenah teknisi keur dianteurkeun, atuh, nuhun pisan",Gangguan Pusat
P-795," euy. a tolong optimasi jaringan, wifi di rumah lemot banget.",Wifi Lemot
P-850,"A tolong cek kabel di tiang, kayaknya putus, lampu modem merah. tlong.",Gangguan Pusat
P-475," nuhun. a tolong cek router, kayaknya ada yang konslet di dalem.",Router Error
P-514," router error a, ga bisa konek hp sama sekali padahal deket.",Router Error
P-038,tolong wifi atas nama {Nama Pelanggan} ktp nya atas nama {Nama Pelanggan}.wifinya gangguan.tidak ada koneksi internet.trs lampunya merah.kenapa gangguan trs ya pa.,Internet Mati (LOS)
P-054,Tiasa ayeuna mah 🙏,Gangguan Pusat
P-504," tolong ya, a wifi mati, router jiga na mah error euy tolong.",Router Error
P-546,Min ada gangguan pusat ya? Temen saya juga mati wifinya. nuhun.,Gangguan Pusat
P-005,"Asalamualaikum 
Ini maksudnya gimana ya dari semalem gini Mulu 
Di matiin atau gimana dari sana nya soal nya yang lain mah pada bagus
Ini mah tidak terdeteksi sama sekali  sudah jam segini  🙏🙏",Router Error
P-230,"Mangga, wifi lemot pisan ti tadi enjing, susah dianggo streaming, hatur nuhun",Wifi Lemot
P-041,"Nuhun sateuacana, internet lemot teuing, main game jadi lag terus, teuing, punten pisan",Wifi Lemot
P-940,"Min lampu LOS merah terus dari tadi sore, tolong cek. euy.",Internet Mati (LOS)
P-435,"Wilujeng sonten, punten upami tos dibayar ayeuna, iraha deui hurungna, euy, punten pisan",Belum Bayar Tagihan
P-868,"Kak, wifi teu tiasa dianggo sama sakali ti isuk kénéh, geuning, makasih sebelumnya",Internet Mati (LOS)
P-116,"Kumaha carana nya, internet ngadadak pareum, lampu router beureum kabeh, pisan, hapunten ganggu",Internet Mati (LOS)
P-021,"Bisa skrg GK, Sy kirim sandi baru nya",Ganti Password
P-907," tlong. punten min, internet mati lampu indikator merah (los) a.",Internet Mati (LOS)
P-273,"Mohon maaf min, internet lemot teuing, main game jadi lag terus, weh, ditunggu kabarnya",Wifi Lemot
P-150,"Halo min, lampu LOS di modem hurung beureum ti wengi tadi, geuning, hatur nuhun",Internet Mati (LOS)
P-026,Terus kadang lemot pak,Router Error
P-697,"Hapunten, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, geuning, tolong dicek ya",Ganti Password
P-723,"Min tolong ganti password wifi saya dong, udah banyak yang tau. min,",Ganti Password
P-395,"Halo min, punten upami tos dibayar ayeuna, iraha deui hurungna, atuh, nuhun pisan",Belum Bayar Tagihan
P-820,"Min kenapa ya wifi saya lemot banget pas hujan? mohon bantuannya,",Wifi Lemot
P-941,"Min lampu LOS merah terus dari tadi sore, tolong cek.",Internet Mati (LOS)
P-895," mohon bantuannya, punten min, wifi mati total lampu pon merah kedip.",Internet Mati (LOS)
P-715,"Wilujeng enjing, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, hapunten ganggu",Ganti Password
P-304,"Mohon maaf min, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, teuing, ditunggu kabarnya",Internet Mati (LOS)
P-740," tlong. a tolong ganti password wifi, udah lemot gara gara banyak yang tau.",Ganti Password
P-863," min, min lampu los merah terus dari tadi sore, tolong cek.",Internet Mati (LOS)
P-018,udh d cabut bang,Router Error
P-409,"Kak, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, weh, mohon bantuannya",Belum Bayar Tagihan
P-256,"Sim kuring bade tumaros, internet ngadadak pareum, lampu router beureum kabeh, euy, nuhun pisan",Internet Mati (LOS)
P-923," nuhun. a tolong kirim teknisi segera, internet mati lampu merah nyala.",Internet Mati (LOS)
P-932,"Selamat pagi min, internet ngadadak pareum, lampu router beureum kabeh, weh, tolong dicek ya",Internet Mati (LOS)
P-110,"Mangga, lampu LOS di modem hurung beureum ti wengi tadi, yeuh, tolong secepatnya ya",Internet Mati (LOS)
P-633," a, punten min, internet lagi down ya se-bandung?",Gangguan Pusat
P-260,"Nuhun sateuacana, router sok mati sorangan ti tadi enjing, teu apal kunaon, atuh, makasih sebelumnya",Router Error
P-232,"Selamat pagi min, lampu LOS di modem hurung beureum ti wengi tadi, pisan, tolong dibantu ya",Internet Mati (LOS)
P-855,Min lampu LOS merah kedip kedip dari tadi pagi a. nuhun.,Internet Mati (LOS)
P-018,Udah bagus. Makasih ya,Wifi Lemot
P-180,"Selamat pagi min, lampu indikator router beureum tapi kabel na sae wae, atuh, hapunten ganggu",Router Error
P-746," a, min naha wifi lemot pisan hari ini? dipake youtube muter terus.",Wifi Lemot
P-050,"Wilujeng sonten, internet lemot teuing, main game jadi lag terus, tolong secepatnya ya",Wifi Lemot
P-860,"Mangga, jaringan hilang total, tos ti tadi isuk teu acan uih deui, teuing, hatur nuhun",Internet Mati (LOS)
P-621,"Min wifi mati total, kata tetangga lagi gangguan pusat. euy.",Gangguan Pusat
P-269,"Kumaha carana nya, wifi teu tiasa dianggo sama sakali ti isuk kénéh, nuhun sateuacana",Internet Mati (LOS)
P-436,"Kumaha carana nya, punten upami tos dibayar ayeuna, iraha deui hurungna, yeuh, nuhun pisan",Belum Bayar Tagihan
P-690,"A mau ganti password wifi, ada tetangga yang tau sandinya. nuhun.",Ganti Password
P-355,"Min, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, weh, mohon bantuannya",Belum Bayar Tagihan
P-072,"Kak, aya tihang kabel ambruk, jaringan sadayana kapangaruhan, nuhun sateuacana",Gangguan Pusat
P-358,"Min, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, yeuh, tolong secepatnya ya",Belum Bayar Tagihan
P-043,Bisa ga kak,Ganti Password
P-542,"Punten min, router error terus pas hujan gede. min,",Router Error
P-575, nuhun. a naha internet down kieu? info gangguan pusat a.,Gangguan Pusat
P-846,"Wilujeng enjing, sadayana tatangga oge ngaluhkeun wifi na mati, sigana keur gangguan, geuning, ditunggu kabarnya",Gangguan Pusat
P-699,"Sim kuring bade tumaros, punten bade robih password wifi, tiasa dibantos teu, pisan, tolong dicek ya",Ganti Password
P-049,"Asalamualaikum punten pk ini wifi kenapa ya tiap hari eror terusss ,,, lama lagi tidak ada internet nya",Gangguan Pusat
P-090,"Punten, internet ngadadak pareum, lampu router beureum kabeh, euy, hatur nuhun",Internet Mati (LOS)
P-875," tlong. punten min, wifi mati total lampu pon merah kedip-kedip.",Internet Mati (LOS)
P-043,"Asalamualaikum kk, mau ganti kata sandi wifi gmna ya, soalnya bnyk yg tau sma pake",Ganti Password
P-482," a, min, lampu internet di router mati, padahal kabel kenceng.",Router Error
P-098,"Mangga, internet mati total sakomplek, lampu indikator beureum sadayana, geuning, hatur nuhun",Internet Mati (LOS)
P-659," min ganti password wifi saya dong, udah lama ga diganti.",Ganti Password
P-344,"Selamat pagi min, hatur nuhun upami dibantos ganti sandi wifi ayeuna, hatur nuhun",Ganti Password
P-261,"Wilujeng enjing, aya kabel di luar putus keuna dahan tangkal, cenah teknisi keur dianteurkeun, weh, mohon bantuannya",Gangguan Pusat
P-852,"Min, wifi teu tiasa dianggo sama sakali ti isuk kénéh, pisan, tolong dicek ya",Internet Mati (LOS)
P-757," kak, punten min, wifi di rumah lambat banget buat anak sekolah.",Wifi Lemot
P-084,"Hapunten, internet ngadadak pareum, lampu router beureum kabeh, yeuh, tolong secepatnya ya",Internet Mati (LOS)
P-666," min, a tolong ganti nama wifi saya jadi 'wifi-gratis'.",Ganti Password
P-635,"Min info perbaikan pusat dong, wifi mati dari tadi.",Gangguan Pusat
P-632,"A info dong kalau lagi gangguan pusat, biar ga nunggu.",Gangguan Pusat
P-070,"Kak, koneksi lelet euy, buka WA wae hese pisan, weh, hatur nuhun",Wifi Lemot
P-525," nuhun. punten min, settingan router berubah sendiri jadi ga bisa konek.",Router Error
P-796," tolong ya, min kenapa ya wifi saya lemot banget dari tadi sore?",Wifi Lemot
P-011,"Wilujeng enjing, punten bade robih password wifi, tiasa dibantos teu, geuning, ditunggu kabarnya",Ganti Password
P-810,"Punten min, wifi di rumah lambat banget buat anak sekolah. mohon bantuannya,",Wifi Lemot
P-111,"Halo min, punten bade robih password wifi, tiasa dibantos teu, weh, ditunggu kabarnya",Ganti Password
P-276,"Min, aya tihang kabel ambruk, jaringan sadayana kapangaruhan, geuning, tolong dicek ya",Gangguan Pusat
P-322,"Wilujeng enjing, internet mati total sakomplek, lampu indikator beureum sadayana, pisan, tolong dibantu ya",Internet Mati (LOS)
P-335,"Punten, internet ngadat-ngadat terus ti tadi siang, hese pisan, geuning, tolong secepatnya ya",Wifi Lemot
P-307,"Mangga, sinyal wifi ical sadayana ti tadi sonten, euy, nuhun pisan",Internet Mati (LOS)
P-644,"Min wifi se-RT mati semua, tolong cek info gangguan. a,",Gangguan Pusat
P-828,"Min, koneksi lelet euy, buka WA wae hese pisan, pisan, hatur nuhun",Wifi Lemot
P-485,"A wifi mati, router jiga na mah error euy tolong. tlong.",Router Error
P-018,Wa ke yang satu gak di bls. Wa ke sini gak di bls.,Wifi Lemot
P-646,"Kak, hatur nuhun upami dibantos ganti sandi wifi ayeuna, teuing, makasih sebelumnya",Ganti Password
P-623,"Punten min, server lagi down ya? Tolong infonya. tlong.",Gangguan Pusat
P-050,"Mohon maaf min, kacepetan wifi turun drastis ti kamari sonten, weh, hapunten ganggu",Wifi Lemot
P-453," tolong ya, min tolong ganti router, kayaknya udah jadul jadi sering error.",Router Error
P-685, min mau ganti nama wifi biar ga ketauan orang lain.,Ganti Password
P-815," min, a tolong cek jaringan, wifi lemot pisan dari tadi pagi.",Wifi Lemot
P-669,"Mangga, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, atuh, hapunten ganggu",Ganti Password
P-591,"A naha internet down kabeh? Server pusat lagi bermasalah? tolong ya,",Gangguan Pusat
P-399,"kak wifi mati tiba tiba, keknya adek lupa bayar tagihan bulan ini, tlong cekin",Belum Bayar Tagihan
P-843,"Punten min, wifi di rumah lambat banget buat kerja. mohon bantuannya,",Wifi Lemot
P-360,"Kak, punten upami tos dibayar ayeuna, iraha deui hurungna, euy, nuhun pisan",Belum Bayar Tagihan
P-862,Min lampu LOS merah kedip kedip dari tadi siang. nuhun.,Internet Mati (LOS)
P-206,"Halo min, router abdi mati sorangan, teu acan hurung deui ti tadi, yeuh, tolong secepatnya ya",Router Error
P-417,"Mangga, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, yeuh, hatur nuhun",Belum Bayar Tagihan
P-497,"Permisi min, router abdi mati sorangan, teu acan hurung deui ti tadi, atuh, tolong dibantu ya",Router Error
P-759,"Mangga, wifi lemot pisan ti tadi enjing, susah dianggo streaming, tolong secepatnya ya",Wifi Lemot
P-841,"A internet lemot pisan euy, tolong dibantu. tlong.",Wifi Lemot
P-193,Min internet mati lampu merah di router nyala terus tolong dicek ya a,Internet Mati (LOS)
P-054,"Assalamualaikum Pak,wifi error",Gangguan Pusat
P-080,"Wilujeng enjing, koneksi lelet euy, buka WA wae hese pisan, atuh, nuhun sateuacana",Wifi Lemot
P-389,"Sim kuring bade tumaros, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, geuning, tolong secepatnya ya",Belum Bayar Tagihan
P-022,"terus kumhaa, kabel apa na ",Internet Mati (LOS)
P-142,"Wilujeng sonten, wifi teu tiasa dianggo sama sakali ti isuk kénéh, atuh, tolong secepatnya ya",Internet Mati (LOS)
P-903," euy. a tolong cek kabel, internet mati lampu indikator merah a.",Internet Mati (LOS)
P-394,"Wilujeng enjing, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, atuh, nuhun pisan",Belum Bayar Tagihan
P-560,"Min wifi se-RT mati semua, tolong cek info gangguan. tlong.",Gangguan Pusat
P-023,nya a pang gentos ken,Ganti Password
P-876,"A tolong kirim teknisi, internet mati lampu merah nyala. a,",Internet Mati (LOS)
P-732,"Nuhun sateuacana, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, weh, tolong dibantu ya",Ganti Password
P-002,A ini jringannya emng lgi jelek ya,Gangguan Pusat
P-440,"kak wifi mati total, kyknya blm bayar tagihan bulanan, klo dibayar skrg langsung aktif?",Belum Bayar Tagihan
P-064,Tdi hp ker d perbaiki,Ganti Password
P-031,Merah dri tadi,Internet Mati (LOS)
P-636,"Punten min, server lagi maintenance ya? Wifi mati total. mohon bantuannya,",Gangguan Pusat
P-792," punten min, wifi lemot pisan buat dengerin spotify muter terus.",Wifi Lemot
P-517,"Min router di rumah lampunya kedap kedip terus kenapa ya? min,",Router Error
P-011,"Dari kmren magrib eror nya
Akses internet nya gk ada",Gangguan Pusat
P-095,"Sim kuring bade tumaros, router sok mati sorangan ti tadi enjing, teu apal kunaon, pisan, tolong secepatnya ya",Router Error
P-576," min, punten min, estimasi normal kapan ya? katanya gangguan pusat.",Gangguan Pusat
P-653,"Kak, bade ganti password wifi kusabab loba anu konek teu wios, atuh, punten pisan",Ganti Password
P-723,"Min, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, weh, mohon bantuannya",Ganti Password
P-040,Dari semalem jm 11,Router Error
P-383,"Mohon maaf min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, atuh, ditunggu kabarnya",Belum Bayar Tagihan
P-749,"Nuhun sateuacana, internet ngadat-ngadat terus ti tadi siang, hese pisan, weh, makasih sebelumnya",Wifi Lemot
P-616,"Sim kuring bade tumaros, aya tihang kabel ambruk, jaringan sadayana kapangaruhan, atuh, makasih sebelumnya",Gangguan Pusat
P-532," tlong. min tolong, router saya jatoh sekarang jadi error ga bisa nyala.",Router Error
P-377,"Mangga, punten upami tos dibayar ayeuna, iraha deui hurungna, atuh, nuhun pisan",Belum Bayar Tagihan
P-902," a tolong bantu, internet mati lampu indikator merah terus.",Internet Mati (LOS)
P-002,"Sandinya ke hp? Soalnya nama WiFi nya jga ga muncul
Yg lain pada muncul yg Nurlaila aja yg gaada",Router Error
P-664,"Wilujeng enjing, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, punten pisan",Ganti Password
P-085,"Mangga, router abdi mati sorangan, teu acan hurung deui ti tadi, yeuh, tolong secepatnya ya",Router Error
P-380,"Hapunten, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, weh, makasih sebelumnya",Belum Bayar Tagihan
P-540," a router error euy, harus dipancing restart baru konek lagi.",Router Error
P-018,"interntet los bang
tersambung tp ga ada jaringang",Router Error
P-935," tlong. min lampu indikator los merah kedip kedip, internet mati total.",Internet Mati (LOS)
P-442,"Wilujeng sonten, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, pisan, mohon bantuannya",Belum Bayar Tagihan
P-506, nuhun. a router di rumah mati lampu indikatornya semua.,Router Error
P-766," min, punten min, wifi di rumah lambat banget buat upload tugas.",Wifi Lemot
P-203,"Mohon maaf min, bade ganti password wifi kusabab loba anu konek teu wios, weh, mohon bantuannya",Ganti Password
P-832," euy. punten min, wifi di rumah ngelag banget buat main ml.",Wifi Lemot
P-808," a, punten min, wifi di rumah lambat banget buat kerja.",Wifi Lemot
P-400,"Hapunten, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, atuh, tolong dibantu ya",Belum Bayar Tagihan
P-022,"Permisi min, lampu LOS di modem hurung beureum ti wengi tadi, weh, makasih sebelumnya",Internet Mati (LOS)
P-772,"A internet lemot pisan, tolong dioptimasi ya a. min,",Wifi Lemot
P-476," kak, min tolong, router saya jatoh sekarang jadi error ga bisa nyala.",Router Error
